name	muscles	etype	equipment	rep_time	video	description
UpdownPlankPushups	['Abdominals', 'Chest', 'Shoulders', 'Triceps']	strength	[None]	4.5		
UpDownPlanks	['Abdominals', 'Shoulders', 'Triceps']	strength	[None]	2.5		
UprightRows	['Traps', 'Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	2.25		
VUps	['Abdominals']	strength	[None]	1.75	https://www.youtube.com/embed/7UVgs18Y1P4	
WallSit	['Quadriceps', 'Glutes']	strength	[None, 'band', 'kettlebell', 'dumbbell']			
WideHandPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	2.25		
Wiggles	['Abdominals']	strength	[None]	0.65	https://www.youtube.com/embed/lfBgI49su0s	
Windmills	['Abdominals']	strength	['dumbbell', 'kettlebell']	3	https://www.youtube.com/embed/ogCw52FZlfM	
WindshieldWipers	['Abdominals']	strength	[None]	2.75	https://www.youtube.com/embed/eZd0nvh7Uhs	
WoodChoppers	['Abdominals', 'Shoulders']	strength	['kettlebell', 'dumbbell']	2.25	https://www.youtube.com/embed/b65s5BtdOEc	
YTWLs	['MiddleBack', 'Shoulders']	strength	[None]	4	https://www.youtube.com/embed/Yv6sUKOwOY8	
KickThroughs	['Abdominals']	strength	[None]	2.25	https://www.youtube.com/embed/6U5Gs-LfReI	
TurkishGetUps	['Shoulders', 'Abdominals', 'Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	15	https://www.youtube.com/embed/sgd8n917Zv0	
PlankPullThroughs	['Shoulders', 'Abdominals', 'MiddleBack']	strength	['kettlebell', 'dumbbell']	2.5	https://www.youtube.com/embed/wTinzKzL5Ls	
SottsPresses	['Shoulders']	strength	['kettlebell', 'dumbbell']	2.75	https://www.youtube.com/embed/eJ9MLnNV6FY	
SquatWithHeelTaps	['Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	1.75	https://www.youtube.com/embed/yppNasTDUOc	
PlankRows	['Shoulders', 'Abdominals', 'MiddleBack']	strength	['kettlebell', 'dumbbell']	2.5	https://www.youtube.com/embed/-NP3Wke4GLA	
PullOverBicycleCrunch	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	2.85	https://www.youtube.com/embed/Iwyvozckjak	
KneeHugs	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	2	https://www.youtube.com/embed/O0CXYaPWs90	
